Time1,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil
2019-02-02 00:00:00,53287,1463,33518,23014
2019-02-02 00:00:01,41029,55891,26004,50645
2019-02-02 00:00:02,41029,55891,26004,50645
2019-02-02 00:00:03,64661,40232,33460,44046
2019-02-02 00:00:04,64661,40232,33460,44046
2019-02-02 00:00:05,15879,49034,60505,8898
2019-02-02 00:00:06,15879,49034,60505,8898
2019-02-02 00:00:07,38175,40957,52382,216
2019-02-02 00:00:08,64129,48498,34172,14203
2019-02-02 00:00:09,36462,11788,4504,55448
2019-02-02 00:00:10,64129,48498,34172,14203
2019-02-02 00:00:11,36462,11788,4504,55448
2019-02-02 00:00:12,18658,9955,53189,2021
2019-02-02 00:00:13,40335,52379,19963,1888
2019-02-02 00:00:14,40335,52379,19963,1888
2019-02-02 00:00:15,40335,52379,19963,1888
2019-02-02 00:00:16,20425,56837,7202,24043
2019-02-02 00:00:17,44745,46290,27921,12231
2019-02-02 00:00:18,50390,64649,2846,23157
2019-02-02 00:00:19,0,0,0,0
2019-02-02 00:00:20,49399,19795,25455,57773
2019-02-02 00:00:21,64359,38409,15345,12604
2019-02-02 00:00:22,64302,37407,56337,48362
2019-02-02 00:00:23,22626,15622,52695,18531
2019-02-02 00:00:24,35737,51158,64173,18638
2019-02-02 00:00:25,26043,23325,56156,11842
2019-02-02 00:00:26,43659,9692,18752,38938
2019-02-02 00:00:27,55276,8194,44767,43364
2019-02-02 00:00:28,27290,22023,5709,10135
2019-02-02 00:00:29,55276,8194,44767,43364
2019-02-02 00:00:30,31474,43677,16010,281
2019-02-02 00:00:31,17378,11774,14740,58619
2019-02-02 00:00:32,26286,56455,21236,51783
2019-02-02 00:00:33,14749,3003,33027,35982
2019-02-02 00:00:34,55602,25415,55353,22846
2019-02-02 00:00:35,11520,28992,55166,27140
2019-02-02 00:00:36,62610,4379,8442,25423
2019-02-02 00:00:37,13622,59455,12529,63919
2019-02-02 00:00:38,16368,35820,41919,40533
2019-02-02 00:00:39,62283,42898,913,43205
2019-02-02 00:00:40,39888,52746,7592,38269
2019-02-02 00:00:41,14475,16814,17193,33378
2019-02-02 00:00:42,29789,31607,31795,58856
2019-02-02 00:00:43,39888,52746,7592,38269
2019-02-02 00:00:44,9696,57089,33832,64684
2019-02-02 00:00:45,35392,60267,306,39911
2019-02-02 00:00:46,35392,60267,306,39911
2019-02-02 00:00:47,34541,38938,46098,33603
2019-02-02 00:00:48,9565,30679,27766,5720
2019-02-02 00:00:49,42480,13601,41491,50524
2019-02-02 00:00:50,17002,20434,10781,46700
2019-02-02 00:00:51,2944,20532,252,31859
2019-02-02 00:00:52,62863,11794,30103,8545
2019-02-02 00:00:53,20231,22988,6740,45111
2019-02-02 00:00:54,2944,20532,252,31859
2019-02-02 00:00:55,27242,4889,30530,5397
2019-02-02 00:00:56,46328,48024,43098,56092
2019-02-02 00:00:57,24544,34616,57623,46700
2019-02-02 00:00:58,22128,62139,9147,54359
2019-02-02 00:00:59,26815,13867,26379,46781
2019-02-02 00:01:00,26815,13867,26379,46781
2019-02-02 00:01:01,28264,48144,1653,11044
2019-02-02 00:01:02,62818,65071,59375,63876
2019-02-02 00:01:03,35329,11109,53555,11695
2019-02-02 00:01:04,13962,25315,45429,58745
2019-02-02 00:01:05,50067,21517,17532,62463
2019-02-02 00:01:06,18062,58956,14517,24613
2019-02-02 00:01:07,2339,65205,58488,30717
2019-02-02 00:01:08,517,48939,47942,62400
2019-02-02 00:01:09,32843,25281,58139,817
2019-02-02 00:01:10,3260,50482,21864,17942
2019-02-02 00:01:11,3260,50482,21864,17942
2019-02-02 00:01:12,36160,28976,52227,41870
2019-02-02 00:01:13,402,50581,2266,47378
2019-02-02 00:01:14,1203,27964,50862,58738
